,VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio
20,480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,229396,5133882.48,112531.0,3495444.69,911658.74,206761.59,89286.27,-1638437.7900000005,-46.87351496899241,0.4905534534167989,0.6808579478819702
21,480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,133552,5111035.04,64900.0,3349849.0,1164778.28,119247.92,89286.27,-1761186.04,-52.57508741438793,0.4859530370192884,0.6554149939852496
22,8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750.0,247744,4835962.88,121242.0,3023624.58,777253.1699999999,222759.29,18544.49,-1812338.2999999998,-59.93926335920975,0.48938420304830793,0.6252373425992881
23,480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,239512,4823771.68,114974.0,3441864.26,581056.34,120722.7,89286.27,-1381907.42,-40.149968610325146,0.4800344032866829,0.7135213870653182
24,12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750.0,405920,4773619.2,196087.0,3220127.13,607763.08,360277.16,123880.97,-1553492.0700000003,-48.24319063452629,0.48306809223492314,0.6745672403027037
25,12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750.0,389892,4760581.32,187983.0,3078024.17,610607.36,345384.85,123880.97,-1682557.1500000004,-54.663545738173994,0.48214120833461577,0.6465647707914797
26,7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750.0,236352,4653770.88,116191.0,3071631.09,855033.57,213479.51,38994.78,-1582139.79,-51.508131791959435,0.49160150961278093,0.6600305793309704
27,480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750.0,305556,4427506.44,151444.0,3262885.56,679020.87,278256.11,89286.27,-1164620.8800000004,-35.692973553139275,0.49563418816845356,0.7369578348936291
28,8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,161520,4393344.0,74611.0,3073314.83,688126.87,8363.03,48347.26,-1320029.17,-42.95131618520189,0.4619304110946013,0.6995388546856336
29,3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,14.72,19.99,750.0,291808,4295413.76,142887.0,2845243.13,674595.59,112498.21,257032.07,-1450170.63,-50.96824994354701,0.4896610099791644,0.6623909334406006
30,7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13.43,18.99,1750.0,308264,4139985.52,148231.0,2794220.69,657813.23,272348.58999999997,38994.78,-1345764.83,-48.16243880865402,0.48085731710481927,0.6749348944582781
31,11567,CAMPARI AMERICA,3826,Skyy Vodka,15.74,19.99,1750.0,261528,4116450.7199999997,127282.0,2624937.1799999997,699326.72,233851.81,20964.81,-1491513.54,-56.82092323443718,0.4866859380257563,0.6376700119951879
32,8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,34.01,52.99,750.0,119316,4057937.16,58355.0,3035225.45,259688.34,6556.53,48347.26,-1022711.71,-33.69475272421691,0.48907941935700155,0.7479725117281018
33,17035,PERNOD RICARD USA,3423,Beefeater,21.25,26.99,1750.0,184652,3923855.0,88791.0,2335885.09,728727.35,163141.54,123780.22,-1587969.9100000001,-67.981508028719,0.480855880250417,0.5953036210563336
34,8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,11.1,13.99,750.0,351816,3905157.6,166232.0,2316036.18,510585.98,130874.87,50293.62,-1589121.42,-68.61384263867588,0.47249698706141846,0.5930711170273897
35,17035,PERNOD RICARD USA,5734,Malibu Rum,15.82,21.99,1750.0,246556,3900515.92,119078.0,2561605.2199999997,624181.2699999999,218790.06,123780.22,-1338910.7000000002,-52.26842487461828,0.48296533039147294,0.6567349736647146
36,480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,17.99,1750.0,273176,3870903.92,150294.0,2646447.06,355157.3,276148.18,89286.27,-1224456.8599999999,-46.26795217282751,0.550172782382054,0.6836767625066758
37,4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,13.76,18.99,750.0,277196,3814216.96,138908.0,2666770.92,655844.7599999999,109360.68,144929.24,-1147446.04,-43.0275443381541,0.501118342256021,0.699166027514072
38,1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,15.93,22.99,750.0,211728,3372827.04,105571.0,2488649.29,782047.38,83114.03,68601.68,-884177.75,-35.52841911284334,0.4986161490213859,0.7378526264424161
39,12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,20.45,26.99,750.0,164192,3357726.4,73878.0,2034503.22,786408.2,58166.88,123880.97,-1323223.18,-65.0391293064653,0.4499488403819918,0.6059169144930927
40,8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,17.14,23.99,1750.0,176792,3030214.88,85812.0,2157449.88,722415.2699999999,157665.18,50293.62,-872765.0,-40.45354694404303,0.485383954025069,0.7119791715893099
41,17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,53.96,67.99,1750.0,55036,2969742.56,26146.0,1802200.5399999998,896429.94,48047.14,123780.22,-1167542.0200000003,-64.78424537593361,0.47507086270804566,0.606854130817319
42,3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,17.59,22.99,750.0,167572,2947591.48,81740.0,1904768.5999999999,714850.82,64354.909999999996,257032.07,-1042822.8800000001,-54.748008760749215,0.4877903229656506,0.6462118692241572
43,17035,PERNOD RICARD USA,5365,Kahlua,14.84,18.99,750.0,194332,2883886.88,95334.0,1829626.66,640250.86,75052.72,123780.22,-1054260.22,-57.621603524294954,0.4905728341189305,0.6344307998654927
44,3960,DIAGEO NORTH AMERICA INC,3876,Smirnoff 80 Proof,13.95,19.99,1750.0,203848,2843679.6,127787.0,2408305.13,592466.0599999999,234788.16999999998,257032.07,-435374.4700000002,-18.078044371395755,0.6268739452925709,0.8468974950623832
45,1392,CONSTELLATION BRANDS INC,3913,Svedka Vodka,14.28,17.99,1750.0,193924,2769234.72,94398.0,1730024.02,536778.95,173438.88,79528.99,-1039210.7000000002,-60.069148635288904,0.4867783255295889,0.6247300048296375
