,VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
69,12546,JIM BEAM BRANDS COMPANY,1392,Red Stag Hardcore Cider,10.6,16.99,750.0,660,6996.0,453.0,7197.969999999999,4043.4399999999996,357.09000000000003,123880.97,201.96999999999935,2.8059300052653646,0.6863636363636364,1.0288693539165237,10.6,Large,2194.2
70,9206,PHILLIPS PRODUCTS CO.,3648,UV Ruby Red Grapefruit Vodka,6.05,8.99,750.0,1140,6897.0,861.0,7038.39,4136.9800000000005,678.52,2211.83,141.39000000000033,2.008840089850098,0.7552631578947369,1.0205002174858635,6.05,Large,1687.95
71,3960,DIAGEO NORTH AMERICA INC,7211,Cocktail Time Strawberry Rtd,8.45,11.99,750.0,812,6861.4,625.0,6953.75,4781.72,492.8,257032.07,92.35000000000036,1.3280603990652577,0.7697044334975369,1.0134593523187687,8.45,Large,1580.1499999999999
72,1703,ALISA CARR BEVERAGES,90014,Ch Giscours Margaux 12,40.78,61.99,750.0,168,6851.04,165.0,10228.35,5269.150000000001,18.37,172.0,3377.3100000000004,33.01910865388846,0.9821428571428571,1.4929631121698312,40.78,Large,122.34
73,4425,MARTIGNETTI COMPANIES,44186,H Brunier Telegramme Pape,31.03,49.99,750.0,220,6826.6,165.0,7423.35,4499.0,18.29,144929.24,596.75,8.038823442246425,0.75,1.087415404447309,31.03,Large,1706.65
74,2561,EDRINGTON AMERICAS,2112,Cutty Sark Prohibition,15.55,26.99,750.0,436,6779.8,451.0,9706.49,6941.789999999999,355.65000000000003,9654.5,2926.6899999999996,30.151888066644066,1.0344036697247707,1.4316779256025252,15.55,Large,-233.25
75,3960,DIAGEO NORTH AMERICA INC,7202,Cocktail Time Key Lime Rtd,8.33,11.99,750.0,812,6763.96,626.0,6936.74,4272.16,493.46,257032.07,172.77999999999975,2.490795388035298,0.770935960591133,1.0255442078309156,8.33,Large,1549.38
76,4425,MARTIGNETTI COMPANIES,5065,Berentzen Apple Liqueur,11.42,17.99,750.0,588,6714.96,480.0,9455.199999999999,6308.78,378.33,144929.24,2740.239999999999,28.981301294525757,0.8163265306122449,1.4080798694258787,11.42,Large,1233.36
77,1392,CONSTELLATION BRANDS INC,2689,Black Velvet Reserve,14.72,18.99,1750.0,456,6712.32,873.0,16578.27,12932.189999999999,1605.15,79528.99,9865.95,59.51133622507053,1.9144736842105263,2.4698271238558354,14.719999999999999,Large,-6138.240000000001
78,17035,PERNOD RICARD USA,8943,Malibu Rum Sparkler RTD,7.74,13.99,750.0,864,6687.36,746.0,7482.54,4195.83,587.78,123780.22,795.1800000000003,10.627139981877816,0.8634259259259259,1.1189079098478323,7.739999999999999,Large,913.32
79,9744,FREDERICK WILDMAN & SONS,25423,Pol Roger 02 Sir W Churchill,151.36,220.99,750.0,44,6659.84,47.0,10386.53,4640.79,5.28,3999.93,3726.6900000000005,35.880029230166386,1.0681818181818181,1.5595765063424947,151.36,Medium,-454.08000000000004
80,1485,CASTLE BRANDS CORP.,1788,Knappogue Castle Irish 12 Yr,29.19,39.99,750.0,224,6538.56,182.0,7278.18,4398.900000000001,143.52,8497.59,739.6199999999999,10.162155923596282,0.8125,1.1131166495375129,29.19,Large,1225.98
81,6213,MHW LTD,5629,RumChata Liqueur,7.02,8.99,300.0,916,6430.32,2512.0,22582.88,16226.95,798.05,9621.58,16152.560000000001,71.52568671489199,2.7423580786026203,3.5119371975267173,7.02,Large,-11203.92
82,3252,E & J GALLO WINERY,5373,E&J Peach Brandy,7.47,10.99,750.0,852,6364.44,850.0,8165.5,5427.86,669.9,61966.91,1801.0600000000004,22.05694691078318,0.9976525821596244,1.2829879769469112,7.47,Large,14.94
83,9165,ULTRA BEVERAGE COMPANY LLP,25285,A Bichot St-Amour Champlette,12.49,18.99,750.0,508,6344.92,391.0,7374.089999999999,4587.57,43.37,68054.7,1029.1699999999992,13.95656955637915,0.7696850393700787,1.1622037787710482,12.49,Large,1461.33
84,8352,LUXCO INC,1021,St Brendans Peppermint Bark,10.76,13.99,750.0,584,6283.84,677.0,7641.2300000000005,4398.1,533.41,10261.6,1357.3900000000003,17.764024901750116,1.1592465753424657,1.216012820186383,10.76,Large,-1000.68
85,4425,MARTIGNETTI COMPANIES,22509,Alderbrook Pnt Nr RRV,12.07,17.99,750.0,520,6276.4,1415.0,25455.85,14733.81,157.09,144929.24,19179.449999999997,75.34397790684655,2.7211538461538463,4.0558042827098335,12.069999999999999,Large,-10802.65
86,2561,EDRINGTON AMERICAS,4575,Brugal XV Rum,19.37,24.99,750.0,316,6120.92,421.0,10520.789999999999,6672.33,331.82,9654.5,4399.869999999999,41.82071878632688,1.3322784810126582,1.7188249478836513,19.37,Large,-2033.8500000000001
87,4425,MARTIGNETTI COMPANIES,4627,Wiggly Bridge Gold Rum,36.43,46.99,750.0,168,6120.24,138.0,6898.62,4049.19,108.77,144929.24,778.3800000000001,11.283126190455484,0.8214285714285714,1.1271812870083526,36.43,Large,1092.9
